long,lat,distance,elevation_m
121.415933,25.066533,6.211533,56.988279
121.415867,25.066567,6.224867,58.110844
121.415800,25.066600,6.238200,58.913519
121.415733,25.066633,6.251533,59.409138
121.415667,25.066667,6.264867,59.744000
121.415600,25.066700,6.278200,60.177493
121.415467,25.066767,6.291567,62.353533
121.415333,25.066833,6.304933,65.826752
121.415200,25.066900,6.318300,68.095113
121.415100,25.066967,6.331633,68.800045
121.415000,25.067033,6.344967,69.871936
121.414900,25.067100,6.358300,71.556109
121.414833,25.067133,6.371633,73.517839
121.414767,25.067167,6.384967,75.710548
121.414700,25.067200,6.398300,77.778898
121.414633,25.067233,6.411633,79.703995
121.414567,25.067267,6.424967,81.118795
121.414500,25.067300,6.438300,81.746703
121.414333,25.067433,6.451633,77.739792
121.414167,25.067567,6.464967,74.901120
121.414000,25.067700,6.478300,70.291215
121.413933,25.067800,6.491667,67.124906
121.413867,25.067900,6.505033,65.838385
121.413800,25.068000,6.518400,65.296903
121.413567,25.068133,6.531733,64.613659
121.413333,25.068267,6.545067,64.004992
121.413100,25.068400,6.558400,71.645673
121.413100,25.068400,6.558400,71.645673
121.413000,25.068500,6.571733,76.707648
121.412900,25.068600,6.585067,80.059821
121.412800,25.068700,6.598400,81.349745
121.412800,25.068700,6.598400,81.349745
121.412767,25.068700,6.611733,82.310227
121.412733,25.068700,6.625067,83.335085
121.412700,25.068700,6.638400,84.417176
121.412700,25.068700,6.638400,84.417176
121.412633,25.068767,6.651733,84.115545
121.412567,25.068833,6.665067,83.342494
121.412500,25.068900,6.678400,82.587136
121.412333,25.069033,6.691767,81.775254
121.412167,25.069167,6.705133,80.928000
121.412000,25.069300,6.718500,85.291246
121.411933,25.069367,6.731833,87.461784
121.411867,25.069433,6.745167,89.996393
121.411800,25.069500,6.758500,92.505020
121.411667,25.069633,6.771833,94.372864
121.411533,25.069767,6.785167,94.352256
121.411400,25.069900,6.798500,94.297192
121.411333,25.069967,6.811833,94.490220
121.411267,25.070033,6.825167,94.966575
121.411200,25.070100,6.838500,95.199193
121.411100,25.070167,6.851833,96.079472
121.411000,25.070233,6.865167,96.903535
121.410900,25.070300,6.878500,97.996272
121.410800,25.070367,6.891833,99.271307
121.410700,25.070433,6.905167,101.597052
121.410600,25.070500,6.918500,104.389997
121.410467,25.070600,6.931867,106.194635
121.410333,25.070700,6.945233,106.735416
121.410200,25.070800,6.958600,109.580421
121.410167,25.070800,6.971933,111.200274
121.410133,25.070800,6.985267,112.884979
121.410100,25.070800,6.998600,114.549115
